report	file	module	status
variants/qc_clean/R1.clean_fastqc.zip	R1.clean.fq.gz	Per base sequence quality	PASS
variants/qc_clean/R1.clean_fastqc.zip	R1.clean.fq.gz	Per tile sequence quality	PASS
variants/qc_clean/R1.clean_fastqc.zip	R1.clean.fq.gz	Per sequence quality scores	PASS
variants/qc_clean/R1.clean_fastqc.zip	R1.clean.fq.gz	Per base sequence content	PASS
variants/qc_clean/R1.clean_fastqc.zip	R1.clean.fq.gz	Per sequence GC content	FAIL
variants/qc_clean/R1.clean_fastqc.zip	R1.clean.fq.gz	Per base N content	PASS
variants/qc_clean/R1.clean_fastqc.zip	R1.clean.fq.gz	Sequence Length Distribution	WARN
variants/qc_clean/R1.clean_fastqc.zip	R1.clean.fq.gz	Sequence Duplication Levels	PASS
variants/qc_clean/R1.clean_fastqc.zip	R1.clean.fq.gz	Overrepresented sequences	WARN
variants/qc_clean/R1.clean_fastqc.zip	R1.clean.fq.gz	Adapter Content	PASS
variants/qc_clean/R2.clean_fastqc.zip	R2.clean.fq.gz	Basic Statistics	PASS
variants/qc_clean/R2.clean_fastqc.zip	R2.clean.fq.gz	Per base sequence quality	PASS
variants/qc_clean/R2.clean_fastqc.zip	R2.clean.fq.gz	Per tile sequence quality	PASS
variants/qc_clean/R2.clean_fastqc.zip	R2.clean.fq.gz	Per sequence quality scores	PASS
variants/qc_clean/R2.clean_fastqc.zip	R2.clean.fq.gz	Per base sequence content	PASS
variants/qc_clean/R2.clean_fastqc.zip	R2.clean.fq.gz	Per sequence GC content	FAIL
variants/qc_clean/R2.clean_fastqc.zip	R2.clean.fq.gz	Per base N content	PASS
variants/qc_clean/R2.clean_fastqc.zip	R2.clean.fq.gz	Sequence Length Distribution	WARN
variants/qc_clean/R2.clean_fastqc.zip	R2.clean.fq.gz	Sequence Duplication Levels	PASS
variants/qc_clean/R2.clean_fastqc.zip	R2.clean.fq.gz	Overrepresented sequences	WARN
variants/qc_clean/R2.clean_fastqc.zip	R2.clean.fq.gz	Adapter Content	PASS
variants/qc_raw/R1_fastqc.zip	R1.fastq.gz	Basic Statistics	PASS
variants/qc_raw/R1_fastqc.zip	R1.fastq.gz	Per base sequence quality	FAIL
